1,Get Port Object,module.ports.obtain(),Obtain a port object representing a specific port on a module
2,Release Port,port.reservation.set_release(),Reserve or release the port.
3,Relinquish Port,port.reservation.set_relinquish(),Reserve or release the port.
4,Reserve Port,port.reservation.set_reserve(),Reserve or release the port.
5,Get Port Reservation Status,port.reservation.get(),Reserve or release the port.
6,Get Port Reserved By,port.reserved_by.get(),Get the current reservation status of the port.
7,Get Port Capabilities,port.capabilities.get(),Get the capabilities of the port.
8,Set Port Description,port.comment.set(),A text description of the port.
9,Get Port Description,port.comment.get(),A text description of the port.
10,Get Interface Name,port.interface.get(),The interface name of the port.
11,Reset Port,port.reset.set(),Reset the port.
12,Flash Port LEDs On,port.flash.set_on(),Make the port LED flash on and off with a 1-second interval.
13,Flash Port LEDs Off,port.flash.set_off(),Make the port LED flash on and off with a 1-second interval.
14,Get Flash Status,port.flash.get(),Make the port LED flash on and off with a 1-second interval.
15,Get Sync Status,port.sync_status.get(),Get the port synchronization status.
16,Enable TX Output,port.tx_config.enable.set_on(),Enable or disable the port transmitter.
17,Disable TX Output,port.tx_config.enable.set_off(),Enable or disable the port transmitter.
18,Get TX Output Status,port.tx_config.enable.get(),Enable or disable the port transmitter.
19,Set TX Time Limit,port.tx_config.time_limit.set(),Set or get the transmit time limit.
20,Get TX Time Limit,port.tx_config.time_limit.get(),Set or get the transmit time limit.
21,Set TX Packet Limit,port.tx_config.packet_limit.set(),Set or get the transmit packet limit.
22,Get TX Packet Limit,port.tx_config.packet_limit.get(),Set or get the transmit packet limit.
23,Get TX Time Elapsed,port.tx_config.time.get(),Get the elapsed transmit time.
24,Get TX Delay,port.tx_config.delay.get(),Set or get the transmit delay.
25,Set TX Prepare,port.tx_config.prepare.set(),Prepare the port for transmission.
26,Start Traffic,port.traffic.state.set_start(),Start or stop traffic on the port.
27,Stop Traffic,port.traffic.state.set_stop(),Start or stop traffic on the port.
28,Get Traffic State,port.traffic.state.get(),Start or stop traffic on the port.
29,Get Traffic Error,port.traffic.error.get(),Get the traffic error status.
30,Send Manual Packet,port.tx_single_pkt.send.set(),Transmit a single manually specified packet.
31,Get Manual Packet Time,port.tx_single_pkt.time.get(),Get the time taken to transmit a single manually specified packet.
32,Disable Dynamic Traffic,port.dynamic.set_off(),Enable or disable dynamic traffic on the port.
33,Enable Dynamic Traffic,port.dynamic.set_on(),Enable or disable dynamic traffic on the port.
34,Get Dynamic Traffic Status,port.dynamic.get(),Enable or disable dynamic traffic on the port.
35,Set Rate Fraction,port.rate.fraction.set(),Set or get the transmit rate as a fraction of line rate in parts per million (ppm).
36,Get Rate Fraction,port.rate.fraction.get(),Set or get the transmit rate as a fraction of line rate in parts per million (ppm).
37,Set Rate L2 Bits Per Second,port.rate.l2_bps.set(),Set or get the transmit rate in bits per second at Layer 2.
38,Get Rate L2 Bits Per Second,port.rate.l2_bps.get(),Set or get the transmit rate in bits per second at Layer 2.
39,Set Rate Frames Per Second,port.rate.pps.set(),Set or get the transmit rate in frames per second.
40,Get Rate Frames Per Second,port.rate.pps.get(),Set or get the transmit rate in frames per second.
41,Set TX Mode Normal,port.tx_config.mode.set_normal(),Set or get the transmit mode.
42,Set TX Mode Burst,port.tx_config.mode.set_burst(),Set or get the transmit mode.
43,Set TX Mode Sequential,port.tx_config.mode.set_sequential(),Set or get the transmit mode.
44,Set TX Mode Strict Uniform,port.tx_config.mode.set_strictuniform(),Set or get the transmit mode.
45,Get TX Mode,port.tx_config.mode.get(),Set or get the transmit mode.
46,Set Burst Period,port.tx_config.burst_period.set(),Set or get the burst period in milliseconds.
47,Get Burst Period,port.tx_config.burst_period.get(),Set or get the burst period in milliseconds.
48,Set Inter-frame Gap,port.interframe_gap.set(),Set or get the inter-frame gap minimum byte count.
49,Get Inter-frame Gap,port.interframe_gap.get(),Set or get the inter-frame gap minimum byte count.
50,Set Autoneg On for RJ45 Port,port.autoneg_selection.set_on(),Set Autoneg On for RJ45 Odin port.
51,Set Autoneg Off for RJ45 Port,port.autoneg_selection.set_off(),Set Autoneg Off for RJ45 Odin port.
52,Get Autoneg Status on RJ45 Port,port.autoneg_selection.get(),Get Autoneg status on RJ45 Odin port.
53,Set Speed Mode Auto,port.speed.selection.set_auto(),Set or get the speed mode selection.
54,Set Speed Mode 10M,port.speed.selection.set_f10m(),Set or get the speed mode selection.
55,Set Speed Mode 10M/100M,port.speed.selection.set_f10m100m(),Set or get the speed mode selection.
56,Set Speed Mode 10M HDX,port.speed.selection.set_f10mhdx(),Set or get the speed mode selection.
57,Set Speed Mode 100M,port.speed.selection.set_f100m(),Set or get the speed mode selection.
58,Set Speed Mode 100M/1G,port.speed.selection.set_f100m1g(),Set or get the speed mode selection.
59,Set Speed Mode 100M/1G/10G,port.speed.selection.set_f100m1g10g(),Set or get the speed mode selection.
60,Set Speed Mode 100M/1G/2.5G,port.speed.selection.set_f100m1g2500m(),Set or get the speed mode selection.
61,Set Speed Mode 100M HDX,port.speed.selection.set_f100mhdx(),Set or get the speed mode selection.
62,Set Speed Mode 1G,port.speed.selection.set_f1g(),Set or get the speed mode selection.
63,Set Speed Mode 2.5G,port.speed.selection.set_f2500m(),Set or get the speed mode selection.
64,Set Speed Mode 5G,port.speed.selection.set_f5g(),Set or get the speed mode selection.
65,Set Speed Mode 10G,port.speed.selection.set_f10g(),Set or get the speed mode selection.
66,Set Speed Mode 40G,port.speed.selection.set_f40g(),Set or get the speed mode selection.
67,Set Speed Mode 100G,port.speed.selection.set_f100g(),Set or get the speed mode selection.
68,Get Speed Mode Selection,port.speed.selection.get(),Set or get the speed mode selection.
69,Get Supported Speed Modes,port.speed. supported.get(),
70,Get Current Speed,port.speed.current.get(),
71,Set Speed Reduction,port.speed.reduction.set(),
72,Get Speed Reduction,port.speed.reduction.get(),
73,Get Optical RX Power,port.status.get(),
74,Set MAC Address,port.net_config.mac.address.set(),
75,Get MAC Address,port.net_config.mac.address.get(),
76,Set Auto MAC Training,port.net_config.mac.autotrain.set(),
77,Get Auto MAC Training,port.net_config.mac.autotrain.get(),
78,Enable PAUSE,port.pause.set_on(),
79,Disable PAUSE,port.pause.set_off(),
80,Get PAUSE Status,port.pause.get(),
81,Set PFC Enable,port.pfc_enable.set(),
