1,CBFC Mode Enable Rx Only,await port.uec.cbfc.mode.enable_rx_only(),Enable CBFC receive-only mode
2,CBFC Mode Enable Tx Only,await port.uec.cbfc.mode.enable_tx_only(),Enable CBFC transmit-only mode
3,CBFC Mode Enable Both,await port.uec.cbfc.mode.enable_both(),Enable CBFC transmit and receive mode
4,CBFC Mode Disable Both,await port.uec.cbfc.mode.disable_both(),Disable CBFC transmit and receive mode
5,CBFC Mode Get,response = await port.uec.cbfc.mode.get(),Get the current CBFC mode
6,CBFC Rx Mode,response.rx_mode,Current CBFC receive mode
7,CBFC Tx Mode,response.tx_mode,Current CBFC transmit mode
8,CBFC CC_Update Header Set,"await port.uec.cbfc.cc_update.header.set(dmac=""001122334455"", smac=""001122334455"", ethertype=""88B5"", opcode=""FFFE"", cid=""FA7ACB"")",Configure the CC_Update message header
9,CBFC CC_Update Header Get,response = await port.uec.cbfc.cc_update.header.get(),Get the CC_Update message header configuration
10,CBFC CC_Update DMAC,response.dmac,CC_Update destination MAC address
11,CBFC CC_Update SMAC,response.smac,CC_Update source MAC address
12,CBFC CC_Update Ethertype,response.ethertype,CC_Update EtherType
13,CBFC CC_Update Opcode,response.opcode,CC_Update opcode
14,CBFC CC_Update CID,response.cid,CC_Update connection identifier
15,CBFC CC_Update Timer Set,await port.uec.cbfc.cc_update.timer.set(cc_msg_timer=5),Configure the CC_Update timer
16,CBFC CC_Update Timer Get,response = await port.uec.cbfc.cc_update.timer.get(),Get the CC_Update timer configuration
17,CBFC CC_Update Message Timer,response.cc_msg_timer,CC_Update message timer
18,CBFC CF_Update Timer Set,"await port.uec.cbfc.cf_update.timer.set(cf_min_timer=800, cf_max_timer=16384)",Configure the CF_Update timers
19,CBFC CF_Update Timer Get,response = await port.uec.cbfc.cf_update.timer.get(),Get the CF_Update timer configuration
20,CBFC CF_Update Minimum Timer,response.cf_min_timer,Minimum CF_Update timer
21,CBFC CF_Update Maximum Timer,response.cf_max_timer,Maximum CF_Update timer
22,CBFC Local Rx Staged Number of VCs Set,await port.uec.cbfc.vc_local_rx_staged.numvcs.set(num_vcs=4),Configure the number of local receiver staged VCs
23,CBFC Local Rx Staged Link Config Set,"await port.uec.cbfc.vc_local_rx_staged.link_config.set(credit_size=64, credit_limit_method=enums.UecCbfcCreditLimitMethod.TOTAL, total_credit_limit=524287, packet_overhead=0)",Configure local receiver staged link parameters
24,CBFC Local Rx Staged VC Set Best Effort,await port.uec.cbfc.vc_local_rx_staged.vc[i].type.set_best_effort(),Set a local receiver staged VC to best-effort
25,CBFC Local Rx Staged VC Set Lossless,await port.uec.cbfc.vc_local_rx_staged.vc[i].type.set_lossless(),Set a local receiver staged VC to lossless
26,CBFC Local Rx Staged VC Config Set,"await port.uec.cbfc.vc_local_rx_staged.vc[i].config.set(credit_limit=524287, mapping=enums.UecCbfcVcMapping.VLAN, mask_pcp_dei=""F"", value_pcp_dei=""F"", mask_dscp=""3F"", value_dscp=""3F"", handle=0)",Configure a local receiver staged VC
27,CBFC Local Tx Staged Number of VCs Set,await port.uec.cbfc.vc_local_tx_staged.numvcs.set(num_vcs=4),Configure the number of local sender staged VCs
28,CBFC Local Tx Staged Link Config Set,"await port.uec.cbfc.vc_local_tx_staged.link_config.set(credit_size=64, credit_limit_method=enums.UecCbfcCreditLimitMethod.TOTAL, total_credit_limit=524287, packet_overhead=0)",Configure local sender staged link parameters
29,CBFC Local Tx Staged VC Set Best Effort,await port.uec.cbfc.vc_local_tx_staged.vc[i].type.set_best_effort(),Set a local sender staged VC to best-effort
30,CBFC Local Tx Staged VC Set Lossless,await port.uec.cbfc.vc_local_tx_staged.vc[i].type.set_lossless(),Set a local sender staged VC to lossless
31,CBFC Local Tx Staged VC Config Set,"await port.uec.cbfc.vc_local_tx_staged.vc[i].config.set(credit_limit=524287, mapping=enums.UecCbfcVcMapping.VLAN, mask_pcp_dei=""F"", value_pcp_dei=""F"", mask_dscp=""3F"", value_dscp=""3F"", handle=0)",Configure a local sender staged VC
32,CBFC Apply Local Rx,await port.uec.cbfc.apply_local_rx(),Apply local receiver staged configuration
33,CBFC Apply Local Tx,await port.uec.cbfc.apply_local_tx(),Apply local sender staged configuration
34,Stream Create,stream_0 = await port.streams.create(),Create a stream on the port
